demand [cubic meter/hr] at dist606,bulk_species_node [MG] at P @ dist606,bulk_species_node [MG] at Chlorine @ dist606,bulk_species_node [MG] at C_FRA @ dist606,bulk_species_node [MG] at C_SRA @ dist606,demand [cubic meter/hr] at dist1332,bulk_species_node [MG] at P @ dist1332,bulk_species_node [MG] at Chlorine @ dist1332,bulk_species_node [MG] at C_FRA @ dist1332,bulk_species_node [MG] at C_SRA @ dist1332,demand [cubic meter/hr] at dist1915,bulk_species_node [MG] at P @ dist1915,bulk_species_node [MG] at Chlorine @ dist1915,bulk_species_node [MG] at C_FRA @ dist1915,bulk_species_node [MG] at C_SRA @ dist1915
0.5371107,0.0,0.0,0.0,0.0,0.08923923,0.0,0.0,0.0,0.0,0.16447057,0.0,0.0,0.0,0.0
0.72420466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3937368,0.0,0.0,0.0,0.0
0.011168523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23688515,0.0,0.0,0.0,0.0
0.022307022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28511494,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.06693299,0.0,0.0,0.0,0.0,0.37192857,0.0,0.0,0.0,0.0
0.022307022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2897981,0.0,0.0,0.0,0.0
0.01948487,0.0,0.0,0.0,0.0,0.0,0.0,5.8671454e-09,0.0,0.0,0.21235085,0.0,0.0,0.0,0.0
0.12558584,0.0,0.0,0.0,0.0,0.0,0.0,2.4700732e-08,0.0,0.0,0.58630645,0.0,0.0,0.0,0.0
0.0,0.0,4.679808e-08,0.0,0.0,0.0,0.0,3.278777e-08,0.0,0.0,0.24310608,0.0,0.0,0.0,0.0
0.100456655,0.0,3.4934163e-07,0.0,0.0,0.02230624,0.0,5.8156434e-08,0.0,0.0,0.7195325,0.0,0.0,0.0,0.0
0.0,0.0,4.6950345e-07,0.0,0.0,0.01115312,0.0,5.6324495e-08,0.0,0.0,0.34033453,0.0,0.0,0.0,0.0
