demand [cubic meter/hr] at dist606,bulk_species_node [MG] at P @ dist606,bulk_species_node [MG] at Chlorine @ dist606,bulk_species_node [MG] at C_FRA @ dist606,bulk_species_node [MG] at C_SRA @ dist606,demand [cubic meter/hr] at dist1332,bulk_species_node [MG] at P @ dist1332,bulk_species_node [MG] at Chlorine @ dist1332,bulk_species_node [MG] at C_FRA @ dist1332,bulk_species_node [MG] at C_SRA @ dist1332,demand [cubic meter/hr] at dist1915,bulk_species_node [MG] at P @ dist1915,bulk_species_node [MG] at Chlorine @ dist1915,bulk_species_node [MG] at C_FRA @ dist1915,bulk_species_node [MG] at C_SRA @ dist1915
0.5380298,0.0,0.0,0.0,0.0,0.092399895,0.0,0.0,0.0,0.0,0.1643996,0.0,0.0,0.0,0.0
0.72544396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3935669,0.0,0.0,0.0,0.0
0.011187634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23678292,0.0,0.0,0.0,0.0
0.022345195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28499192,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.06930362,0.0,0.0,0.0,0.0,0.3717681,0.0,0.0,0.0,0.0
0.022345195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2896731,0.0,0.0,0.0,0.0
0.019518213,0.0,0.0,0.0,0.0,0.0,0.0,6.3592815e-09,0.0,0.0,0.21225922,0.0,0.0,0.0,0.0
0.12580074,0.0,0.0,0.0,0.0,0.0,0.0,2.5298487e-08,0.0,0.0,0.5860535,0.0,0.0,0.0,0.0
0.0,0.0,5.037463e-08,0.0,0.0,0.0,0.0,3.345019e-08,0.0,0.0,0.24300118,0.0,0.0,0.0,0.0
0.10062856,0.0,3.5954798e-07,0.0,0.0,0.023096278,0.0,5.924419e-08,0.0,0.0,0.719222,0.0,0.0,0.0,0.0
0.0,0.0,4.794814e-07,0.0,0.0,0.011548139,0.0,5.734112e-08,0.0,0.0,0.3401877,0.0,0.0,0.0,0.0
0.011187634,0.0,4.8247387e-07,0.0,0.0,0.06887481,0.0,4.6231122e-08,0.0,0.0,0.29973406,0.0,0.0,0.0,0.0
0.03353283,0.0,4.2974526e-07,0.0,0.0,0.15070246,0.0,3.552297e-08,0.0,0.0,0.18633817,0.0,3.0441402e-12,0.0,0.0
0.0,0.0,4.105631e-07,0.0,0.0,0.12210567,0.0,3.4233185e-08,0.0,0.0,0.19730747,0.0,8.353805e-11,0.0,0.0
0.07825329,0.0,3.4740117e-07,0.0,0.0,0.0,0.0,3.229812e-08,0.0,0.0,0.40313885,0.0,6.6511845e-11,0.0,0.0
0.0,0.0,2.6955962e-07,0.0,0.0,0.18481457,0.0,2.573517e-08,0.0,0.0,0.122967824,0.0,3.8562823e-11,0.0,0.0
0.022345195,0.0,1.781055e-07,0.0,0.0,0.0,0.0,1.8363481e-08,0.0,0.0,0.24111474,0.0,2.9495826e-11,0.0,0.0
0.0,0.0,1.6284004e-07,0.0,0.0,0.0,0.0,1.3206084e-08,0.0,0.0,0.24111474,0.0,2.0606334e-11,0.0,0.0
0.0,0.0,1.7680851e-07,0.0,0.0,0.0,0.0,1.1288196e-08,0.0,0.0,0.0,0.0,7.294681e-12,0.0,0.0
0.0,0.0,1.9502694e-07,0.0,0.0,0.011548139,0.0,1.2290247e-08,0.0,0.0,0.021938577,0.0,1.986956e-12,0.0,0.0
0.07825329,0.0,1.449745e-07,0.0,0.0,0.011548139,0.0,8.883828e-09,0.0,0.0,0.34703475,0.0,6.6430754e-12,0.0,0.0
