demand [cubic meter/hr] at dist606,bulk_species_node [MG] at P @ dist606,bulk_species_node [MG] at Chlorine @ dist606,bulk_species_node [MG] at C_FRA @ dist606,bulk_species_node [MG] at C_SRA @ dist606,demand [cubic meter/hr] at dist1332,bulk_species_node [MG] at P @ dist1332,bulk_species_node [MG] at Chlorine @ dist1332,bulk_species_node [MG] at C_FRA @ dist1332,bulk_species_node [MG] at C_SRA @ dist1332,demand [cubic meter/hr] at dist1915,bulk_species_node [MG] at P @ dist1915,bulk_species_node [MG] at Chlorine @ dist1915,bulk_species_node [MG] at C_FRA @ dist1915,bulk_species_node [MG] at C_SRA @ dist1915
0.5311883,0.0,0.0,0.0,0.0,0.09325302,0.0,0.0,0.0,0.0,0.16403708,0.0,0.0,0.0,0.0
0.7162193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39269906,0.0,0.0,0.0,0.0
0.011045374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2362608,0.0,0.0,0.0,0.0
0.022061056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28436348,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.069943495,0.0,0.0,0.0,0.0,0.37094828,0.0,0.0,0.0,0.0
0.022061056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2890343,0.0,0.0,0.0,0.0
0.019270021,0.0,0.0,0.0,0.0,0.0,0.0,6.022275e-09,0.0,0.0,0.21179117,0.0,0.0,0.0,0.0
0.124201074,0.0,0.0,0.0,0.0,0.0,0.0,2.4859949e-08,0.0,0.0,0.5847612,0.0,0.0,0.0,0.0
0.0,0.0,4.7796732e-08,0.0,0.0,0.0,0.0,3.304241e-08,0.0,0.0,0.24246533,0.0,0.0,0.0,0.0
0.099348985,0.0,3.530543e-07,0.0,0.0,0.023309525,0.0,5.8616468e-08,0.0,0.0,0.71763605,0.0,0.0,0.0,0.0
0.0,0.0,4.731483e-07,0.0,0.0,0.011654763,0.0,5.6751496e-08,0.0,0.0,0.33943754,0.0,0.0,0.0,0.0
0.011045374,0.0,4.7717305e-07,0.0,0.0,0.06951073,0.0,4.5712568e-08,0.0,0.0,0.29907313,0.0,0.0,0.0,0.0
0.03310643,0.0,4.251119e-07,0.0,0.0,0.15209389,0.0,3.5108247e-08,0.0,0.0,0.18592729,0.0,2.5572498e-12,0.0,0.0
0.0,0.0,4.075543e-07,0.0,0.0,0.123233065,0.0,3.3907227e-08,0.0,0.0,0.19687238,0.0,8.267681e-11,0.0,0.0
0.07725824,0.0,3.453293e-07,0.0,0.0,0.0,0.0,3.205009e-08,0.0,0.0,0.40224987,0.0,6.594591e-11,0.0,0.0
0.0,0.0,2.6816443e-07,0.0,0.0,0.18652096,0.0,2.554802e-08,0.0,0.0,0.12269667,0.0,3.8201893e-11,0.0,0.0
0.022061056,0.0,1.7706158e-07,0.0,0.0,0.0,0.0,1.8205832e-08,0.0,0.0,0.24058306,0.0,2.9186664e-11,0.0,0.0
0.0,0.0,1.6203278e-07,0.0,0.0,0.0,0.0,1.3098185e-08,0.0,0.0,0.24058306,0.0,2.0405004e-11,0.0,0.0
0.0,0.0,1.7583584e-07,0.0,0.0,0.0,0.0,1.11965175e-08,0.0,0.0,0.0,0.0,7.221816e-12,0.0,0.0
0.0,0.0,1.9402005e-07,0.0,0.0,0.011654763,0.0,1.2179362e-08,0.0,0.0,0.0218902,0.0,1.965901e-12,0.0,0.0
0.07725824,0.0,1.4408077e-07,0.0,0.0,0.011654763,0.0,8.797963e-09,0.0,0.0,0.34626952,0.0,6.5669913e-12,0.0,0.0
0.0,0.0,1.3615464e-07,0.0,1.5826108e-08,0.5926096,0.0,8.452383e-09,0.0,6.076718e-10,0.49929178,0.0,7.856065e-12,0.0,5.896065e-13
0.0,0.0,1.4309535e-07,0.0,1.2978394e-07,0.8215075,0.0,9.429132e-09,0.0,7.4539095e-09,0.28206292,0.0,1.020696e-11,0.0,1.03175185e-11
0.17660722,0.0,2.42088e-07,0.0,7.5544483e-07,0.78940487,0.0,1.7431805e-08,0.0,6.1020366e-08,0.07048087,0.0,1.38671305e-11,0.0,7.481537e-11
0.011045374,0.0,1.8458975e-07,0.0,1.7157233e-06,0.0,0.0,1.2866133e-08,0.0,1.4863357e-07,0.01701022,0.0,6.985439e-12,0.0,1.6791557e-10
0.022061056,0.0,1.2490695e-07,0.0,3.0701847e-06,0.0,0.0,8.278657e-09,0.0,2.9555682e-07,0.12290581,0.0,4.7275343e-12,0.0,3.971041e-10
0.0,0.0,1.1648737e-07,0.0,5.4675265e-06,0.023309525,0.0,6.491185e-09,0.0,5.516578e-07,0.15051256,0.0,5.905681e-10,0.0,9.1537935e-08
0.0,0.0,1.5677918e-07,0.0,9.681364e-06,0.0,0.0,8.4389535e-09,0.0,1.0603939e-06,0.0109451,0.0,2.3162734e-09,0.0,3.5380634e-07
