pressure [meter] at 10,pressure [meter] at 11,pressure [meter] at 12,pressure [meter] at 13,pressure [meter] at 21,pressure [meter] at 22,pressure [meter] at 23,pressure [meter] at 31,pressure [meter] at 32,pressure [meter] at 9,pressure [meter] at 2,flow [cubic meter/hr] at 10,flow [cubic meter/hr] at 11,flow [cubic meter/hr] at 12,flow [cubic meter/hr] at 21,flow [cubic meter/hr] at 22,flow [cubic meter/hr] at 31,flow [cubic meter/hr] at 110,flow [cubic meter/hr] at 111,flow [cubic meter/hr] at 112,flow [cubic meter/hr] at 113,flow [cubic meter/hr] at 121,flow [cubic meter/hr] at 122,flow [cubic meter/hr] at 9,bulk_species_node [MG] at Chlorine @ 10,bulk_species_node [MG] at Chlorine @ 11,bulk_species_node [MG] at Chlorine @ 12,bulk_species_node [MG] at Chlorine @ 13,bulk_species_node [MG] at Chlorine @ 21,bulk_species_node [MG] at Chlorine @ 22,bulk_species_node [MG] at Chlorine @ 23,bulk_species_node [MG] at Chlorine @ 31,bulk_species_node [MG] at Chlorine @ 32,bulk_species_node [MG] at AsIII @ 10,bulk_species_node [MG] at AsIII @ 11,bulk_species_node [MG] at AsIII @ 12,bulk_species_node [MG] at AsIII @ 13,bulk_species_node [MG] at AsIII @ 21,bulk_species_node [MG] at AsIII @ 22,bulk_species_node [MG] at AsIII @ 23,bulk_species_node [MG] at AsIII @ 31,bulk_species_node [MG] at AsIII @ 32,bulk_species_node [MG] at AsIII @ 9,bulk_species_node [MG] at AsIII @ 2
247.94489,174.07097,83.612404,87.54566,125.87787,98.030525,97.94485,120.77301,101.6494,0.0,36.576,1745.3212,1271.6665,-79.99107,357.03543,112.3106,60.32948,-1596.1321,447.64386,-265.30438,-93.66088,72.935776,-46.454655,1745.3212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250.12708,177.57724,87.90298,91.97899,130.39034,102.63112,102.531136,125.49283,106.56961,0.0,40.864834,1728.3597,1265.896,-82.51635,356.4565,112.84857,59.92225,-1597.2715,442.87598,-268.72992,-94.52908,71.32081,-47.424797,1728.3597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.96699,84.96699,88.17765,89.4757,87.80725,89.342636,90.86146,87.58001,84.441284,0.0,42.468292,-0.00019298572,-41.14704,22.28638,-5.136556,5.0644236,3.6852303,118.36435,22.871677,38.367195,9.898254,13.589102,8.192727,0.0,0.0,0.0,0.4577005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.66504,84.66504,87.86089,89.21103,87.54176,89.08447,90.602646,87.3504,84.26482,0.0,42.15024,-0.0001918634,-39.078888,19.345684,-6.716444,5.3984723,2.290364,110.407326,20.608644,34.84786,9.6697445,12.384818,7.0239635,0.0,0.0,0.0,0.5069022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.39571,84.39571,87.56568,88.92223,87.29844,88.833694,90.3507,87.13176,84.03446,0.0,41.853577,-0.00019073358,-35.22169,18.956804,-5.1038284,5.9558716,2.651168,100.76591,18.85538,31.96281,8.108026,11.495061,6.7048984,0.0,0.0,0.0,0.5434344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.13135,84.13135,87.29566,88.67926,87.053,88.59028,90.108955,86.90459,83.808975,0.0,41.582817,-0.0001892195,-34.32987,17.236689,-5.5789056,5.1407013,2.6017838,95.56771,17.486296,30.123999,8.051652,10.796841,6.413783,0.0,0.0,0.0,0.59543085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.87832,83.87832,87.0388,88.412674,86.789375,88.32611,89.84463,86.62509,83.54327,0.0,41.326027,-0.00018845823,-33.71522,17.871496,-5.4562273,5.2217493,2.1632745,96.04236,18.263662,30.638422,7.9467726,11.405462,6.4393,0.0,0.0,0.0,0.6278179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.60784,83.60784,86.78027,88.142105,86.51833,88.0556,89.57519,86.33601,83.24457,0.0,41.06796,-0.00018769468,-35.604816,18.631886,-5.5778704,4.6479273,2.476325,99.28401,18.303867,31.466316,7.8941717,12.065414,6.8907247,0.0,0.0,0.0,0.6247152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.31002,83.31002,86.51158,87.84732,86.17844,87.720406,89.240776,85.96347,82.86254,0.0,40.80118,-0.0001861599,-39.88687,20.194897,-6.5711627,4.1842012,2.7549217,111.96313,21.142212,35.761856,9.597125,13.187712,7.58969,0.0,0.0,0.0,0.6043181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.993996,82.993996,86.208786,87.48656,85.816696,87.34837,88.86391,85.57574,82.45397,0.0,40.500336,-0.00018577442,-41.706543,23.344809,-4.151445,6.605707,3.2957242,123.72365,23.89652,39.80981,10.219215,14.026165,8.098943,0.0,0.0,0.0,0.53588307,0.0,0.0,0.45765382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.59229,82.59229,85.87246,87.088745,85.32848,86.86597,88.38319,85.02792,81.91,0.0,40.16789,-0.00018383784,-49.86137,26.330889,-5.6271195,5.857926,3.201771,144.65497,28.479841,47.371983,13.016488,15.80377,8.900255,0.0,0.0,0.12920718,0.48494494,0.39483905,0.0,0.5067272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.13645,82.13645,85.479294,86.60786,84.8065,86.34217,87.857185,84.40994,81.25813,0.0,39.779198,-0.00018227406,-56.728886,30.149477,-5.2029333,6.818239,3.9633543,165.98457,31.596878,53.35099,14.340574,18.35554,10.39695,0.0,0.0,0.5067208,0.4147744,0.50671905,0.0,0.58245414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.57356,81.57356,85.02687,86.03931,84.1039,85.64136,87.15059,83.612274,80.426155,0.0,39.333195,-0.00018030555,-67.36316,34.646564,-5.622117,8.919442,4.6240582,193.0433,37.446606,63.37802,17.86696,20.613707,11.75947,0.0,0.0,0.5501441,0.3614745,0.59195554,0.0,0.6277618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.953316,80.953316,84.5025,85.38294,83.37317,84.908295,86.41879,82.76514,79.49753,0.0,38.814484,-0.00017911344,-75.54667,39.218246,-5.071015,8.497591,5.9398518,214.44072,41.569412,70.856766,19.562082,23.120102,13.571875,0.0,0.0,0.6277527,0.31080696,0.625134,0.0,0.60427284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.24577,80.24577,83.91712,84.61633,82.43378,83.96936,85.465485,81.61128,78.31267,0.0,38.238277,-0.0001767132,-84.98953,44.840206,-5.185231,12.569134,6.378893,245.74036,49.254368,82.18733,23.300394,27.216604,15.593214,0.0,0.0,0.58015025,0.27979395,0.5377236,0.0,0.4848089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.50827,79.50827,83.252205,83.902084,81.63568,83.18144,84.68482,80.74971,77.54904,0.0,37.57797,-0.00017387408,-90.19835,46.269203,-7.286247,10.680336,4.8812914,260.22125,51.09849,85.82779,24.511703,28.331476,15.403697,0.0,0.0,0.44619185,0.24415699,0.41474852,0.4572972,0.36145714,0.0,0.0,0.36299738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.645294,78.645294,82.54577,83.0316,80.581024,82.12263,83.6228,79.43386,76.00294,0.0,36.87875,-0.00017099816,-100.64071,50.77191,-6.4993334,11.547328,8.019893,281.6457,56.593243,95.59663,27.750502,32.572884,18.892746,0.0,0.0,0.36145192,0.23057006,0.3567801,0.521163,0.30695915,0.35052982,0.0,0.4754197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.80119,77.80119,81.78249,82.20476,79.66308,81.19838,82.70143,78.57259,75.19414,0.0,36.121964,-0.0001672353,-105.68596,52.42764,-5.1156745,10.770768,7.406186,299.76028,58.591976,99.78611,29.235191,31.693645,18.118095,0.0,0.0,0.27978048,0.21303089,0.27978048,0.54056364,0.24510151,0.4303632,0.0,0.37733558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.017586,77.017586,80.97629,81.33738,78.78528,80.31505,81.80996,77.5927,74.173546,0.0,35.316505,-0.0001659648,-104.29615,53.979816,-3.557551,12.86056,7.885506,301.79282,61.06004,101.740875,29.603428,33.262924,19.03592,0.0,0.0,0.24414524,0.20015739,0.24414524,0.4008946,0.2305623,0.40317404,0.18140635,0.29154179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.05201,76.05201,80.155045,80.31983,77.66505,79.196304,80.67078,76.32375,72.861786,0.0,34.50558,-0.00016210467,-112.91888,58.723267,-4.0266995,17.141876,8.364311,328.70792,64.93799,108.99996,31.4059,35.44198,20.266201,0.0,0.0,0.23055896,0.19880936,0.23055896,0.3091436,0.21302372,0.28827834,0.4956821,0.2199486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
