pressure [meter] at 10,pressure [meter] at 11,pressure [meter] at 12,pressure [meter] at 13,pressure [meter] at 21,pressure [meter] at 22,pressure [meter] at 23,pressure [meter] at 31,pressure [meter] at 32,pressure [meter] at 9,pressure [meter] at 2,flow [cubic meter/hr] at 10,flow [cubic meter/hr] at 11,flow [cubic meter/hr] at 12,flow [cubic meter/hr] at 21,flow [cubic meter/hr] at 22,flow [cubic meter/hr] at 31,flow [cubic meter/hr] at 110,flow [cubic meter/hr] at 111,flow [cubic meter/hr] at 112,flow [cubic meter/hr] at 113,flow [cubic meter/hr] at 121,flow [cubic meter/hr] at 122,flow [cubic meter/hr] at 9,bulk_species_node [MG] at Chlorine @ 10,bulk_species_node [MG] at Chlorine @ 11,bulk_species_node [MG] at Chlorine @ 12,bulk_species_node [MG] at Chlorine @ 13,bulk_species_node [MG] at Chlorine @ 21,bulk_species_node [MG] at Chlorine @ 22,bulk_species_node [MG] at Chlorine @ 23,bulk_species_node [MG] at Chlorine @ 31,bulk_species_node [MG] at Chlorine @ 32,bulk_species_node [MG] at AsIII @ 10,bulk_species_node [MG] at AsIII @ 11,bulk_species_node [MG] at AsIII @ 12,bulk_species_node [MG] at AsIII @ 13,bulk_species_node [MG] at AsIII @ 21,bulk_species_node [MG] at AsIII @ 22,bulk_species_node [MG] at AsIII @ 23,bulk_species_node [MG] at AsIII @ 31,bulk_species_node [MG] at AsIII @ 32,bulk_species_node [MG] at AsIII @ 9,bulk_species_node [MG] at AsIII @ 2
260.0651,180.57523,83.423805,86.39849,127.45226,94.88463,94.997505,121.50454,102.700584,0.0,36.576,1648.9097,1192.5326,-62.616238,338.33926,94.642,60.546528,-1500.8951,433.8589,-264.38776,-75.76498,73.91351,-46.176353,1648.9097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261.9353,183.81345,87.459984,90.544586,131.80878,99.20784,99.30436,126.114426,107.52019,0.0,40.60893,1633.526,1187.3951,-65.13491,338.51776,95.232506,60.11004,-1503.2312,429.17334,-268.48434,-76.68974,72.19641,-47.16641,1633.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.991264,84.991264,88.20969,89.53261,87.80906,89.384926,90.90162,87.504524,84.336395,0.0,42.499813,-0.0001928211,-38.11895,21.542028,-10.183218,5.5189304,4.3508453,117.810875,22.297546,43.32635,9.626112,14.852338,7.951171,0.0,0.0,0.0,0.46048772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.688934,84.688934,87.89434,89.26409,87.539406,89.125145,90.6409,87.28596,84.1867,0.0,42.18325,-0.00019093751,-36.518463,18.668602,-11.187824,5.890378,2.7470415,109.972466,20.528347,39.4507,9.361489,13.450616,6.8998203,0.0,0.0,0.0,0.50928366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.42397,84.42397,87.60025,88.97467,87.30858,88.875885,90.39052,87.08633,83.972206,0.0,41.887753,-0.00019030785,-32.698414,18.361502,-9.23805,6.30905,3.151899,100.21798,18.529715,36.069927,7.9262576,12.52945,6.5381913,0.0,0.0,0.0,0.5455833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.16087,84.16087,87.331665,88.73091,87.06415,88.63297,90.14961,86.86627,83.755,0.0,41.618465,-0.00019030675,-31.93662,16.647762,-9.411696,5.5403,3.0779274,95.0103,17.354746,34.0067,7.812841,11.767491,6.2595077,0.0,0.0,0.0,0.5986863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.90907,83.90907,87.07628,88.46641,86.80138,88.3702,89.886734,86.58307,83.48848,0.0,41.36317,-0.00018871934,-31.429722,17.293873,-9.411174,5.58156,2.6089666,95.70039,18.052946,34.611217,7.7474585,12.408847,6.3007317,0.0,0.0,0.0,0.6315012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.6401,83.6401,86.81874,88.19846,86.53253,88.1026,89.620476,86.28945,83.18175,0.0,41.106026,-0.0001884016,-33.0229,18.00745,-9.551634,5.015925,2.9826815,98.604805,18.045067,35.420277,7.6790366,13.150397,6.718785,0.0,0.0,0.0,0.6269475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.341194,83.341194,86.551926,87.90908,86.18403,87.76951,89.288155,85.89805,82.77829,0.0,40.841072,-0.00018712161,-37.180973,19.47733,-11.162006,4.6657705,3.2942986,111.486496,20.953287,40.402214,9.283522,14.356626,7.41963,0.0,0.0,0.0,0.60848075,0.0,0.0,0.3185604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.029175,83.029175,86.25055,87.55488,85.83226,87.40099,88.91346,85.50991,82.36207,0.0,40.541504,-0.00018551195,-38.47472,22.595854,-9.401706,7.0594015,3.937277,122.915184,23.056168,44.96382,9.970582,15.315215,7.8641953,0.0,0.0,0.0,0.5381741,0.0,0.0,0.5090774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
