pressure [meter] at 10,pressure [meter] at 11,pressure [meter] at 12,pressure [meter] at 13,pressure [meter] at 21,pressure [meter] at 22,pressure [meter] at 23,pressure [meter] at 31,pressure [meter] at 32,pressure [meter] at 9,pressure [meter] at 2,flow [cubic meter/hr] at 10,flow [cubic meter/hr] at 11,flow [cubic meter/hr] at 12,flow [cubic meter/hr] at 21,flow [cubic meter/hr] at 22,flow [cubic meter/hr] at 31,flow [cubic meter/hr] at 110,flow [cubic meter/hr] at 111,flow [cubic meter/hr] at 112,flow [cubic meter/hr] at 113,flow [cubic meter/hr] at 121,flow [cubic meter/hr] at 122,flow [cubic meter/hr] at 9,bulk_species_node [MG] at Chlorine @ 10,bulk_species_node [MG] at Chlorine @ 11,bulk_species_node [MG] at Chlorine @ 12,bulk_species_node [MG] at Chlorine @ 13,bulk_species_node [MG] at Chlorine @ 21,bulk_species_node [MG] at Chlorine @ 22,bulk_species_node [MG] at Chlorine @ 23,bulk_species_node [MG] at Chlorine @ 31,bulk_species_node [MG] at Chlorine @ 32,bulk_species_node [MG] at AsIII @ 10,bulk_species_node [MG] at AsIII @ 11,bulk_species_node [MG] at AsIII @ 12,bulk_species_node [MG] at AsIII @ 13,bulk_species_node [MG] at AsIII @ 21,bulk_species_node [MG] at AsIII @ 22,bulk_species_node [MG] at AsIII @ 23,bulk_species_node [MG] at AsIII @ 31,bulk_species_node [MG] at AsIII @ 32,bulk_species_node [MG] at AsIII @ 9,bulk_species_node [MG] at AsIII @ 2
246.12772,149.35736,83.91252,86.077774,114.09953,92.85756,93.25182,110.28643,94.49778,0.0,36.576,1759.3208,1358.2908,-39.93088,291.2042,71.883095,52.61153,-1609.5626,378.1876,-231.4256,-52.512615,66.0978,-37.522263,1759.3208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248.23763,153.11768,88.24025,90.477875,118.70659,97.4426,97.82211,115.0676,99.43777,0.0,40.90092,1743.0554,1352.2032,-42.304302,291.3562,72.38834,52.2564,-1611.0719,373.65045,-235.72432,-53.36086,64.45063,-38.665062,1743.0554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.01621,85.01621,88.168335,89.52325,87.8174,89.36564,90.872444,87.57273,84.39565,0.0,42.461357,-0.00019266552,-40.864532,19.441,-7.2284055,7.502017,4.40786,119.13731,24.81524,42.86065,8.038926,15.003068,8.50976,0.0,0.0,0.0,0.4545957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.70601,84.70601,87.849754,89.24597,87.54245,89.0991,90.60442,87.33661,84.23039,0.0,42.14123,-0.00019121195,-39.054077,16.712032,-8.489548,7.844296,2.8676372,111.3151,22.833645,39.027138,7.806265,13.666731,7.261962,0.0,0.0,0.0,0.5036135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.42631,84.42631,87.552475,88.949425,87.29902,88.844604,90.34954,87.11964,83.9992,0.0,41.84213,-0.000191508,-35.00171,16.660387,-6.789275,7.9322925,3.226796,101.3805,20.628927,35.61703,6.675135,12.688033,6.948195,0.0,0.0,0.0,0.5390027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.15815,84.15815,87.28096,88.70042,87.04982,88.596825,90.10506,86.89003,83.77263,0.0,41.569717,-0.00018974872,-34.183914,14.996127,-7.026824,7.1600113,3.1529322,96.16031,19.392006,33.599598,6.542189,11.920042,6.651756,0.0,0.0,0.0,0.59182125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.90196,83.90196,87.02247,88.43349,86.78381,88.33127,89.83944,86.607025,83.5069,0.0,41.311333,-0.00018945574,-33.610596,15.638066,-7.100795,7.1741304,2.7013717,96.78281,20.041143,34.21127,6.5033174,12.588707,6.654175,0.0,0.0,0.0,0.62394893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.6343,83.6343,86.76192,88.16382,86.51435,88.062004,89.572426,86.31792,83.203964,0.0,41.051277,-0.00018738845,-35.35117,16.306787,-7.1326923,6.603056,3.0672734,99.70464,20.157602,34.95158,6.42376,13.3257265,7.1196623,0.0,0.0,0.0,0.6199358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.344536,83.344536,86.49161,87.87693,86.17255,87.728584,89.23902,85.94117,82.81353,0.0,40.783367,-0.00018738763,-39.78196,17.467386,-8.403163,6.600774,3.3961706,112.75893,23.320532,39.9668,7.713162,14.557218,7.8538923,0.0,0.0,0.0,0.6017687,0.0,0.0,0.32605848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.03205,83.03205,86.18628,87.52451,85.81732,87.36063,88.86003,85.5578,82.40153,0.0,40.48038,-0.00018560026,-41.307575,20.453669,-6.3923197,9.102329,4.0087748,124.41016,25.66694,44.461273,8.372829,15.48825,8.383254,0.0,0.0,0.0,0.53210104,0.0,0.0,0.5035012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
