pressure [meter] at 10,pressure [meter] at 11,pressure [meter] at 12,pressure [meter] at 13,pressure [meter] at 21,pressure [meter] at 22,pressure [meter] at 23,pressure [meter] at 31,pressure [meter] at 32,pressure [meter] at 9,pressure [meter] at 2,flow [cubic meter/hr] at 10,flow [cubic meter/hr] at 11,flow [cubic meter/hr] at 12,flow [cubic meter/hr] at 21,flow [cubic meter/hr] at 22,flow [cubic meter/hr] at 31,flow [cubic meter/hr] at 110,flow [cubic meter/hr] at 111,flow [cubic meter/hr] at 112,flow [cubic meter/hr] at 113,flow [cubic meter/hr] at 121,flow [cubic meter/hr] at 122,flow [cubic meter/hr] at 9,bulk_species_node [MG] at Chlorine @ 10,bulk_species_node [MG] at Chlorine @ 11,bulk_species_node [MG] at Chlorine @ 12,bulk_species_node [MG] at Chlorine @ 13,bulk_species_node [MG] at Chlorine @ 21,bulk_species_node [MG] at Chlorine @ 22,bulk_species_node [MG] at Chlorine @ 23,bulk_species_node [MG] at Chlorine @ 31,bulk_species_node [MG] at Chlorine @ 32,bulk_species_node [MG] at AsIII @ 10,bulk_species_node [MG] at AsIII @ 11,bulk_species_node [MG] at AsIII @ 12,bulk_species_node [MG] at AsIII @ 13,bulk_species_node [MG] at AsIII @ 21,bulk_species_node [MG] at AsIII @ 22,bulk_species_node [MG] at AsIII @ 23,bulk_species_node [MG] at AsIII @ 31,bulk_species_node [MG] at AsIII @ 32,bulk_species_node [MG] at AsIII @ 9,bulk_species_node [MG] at AsIII @ 2
227.35265,165.6284,83.69385,87.02276,119.74796,94.69717,95.00265,114.382706,96.0876,0.0,36.576,1897.9288,1430.7103,-68.35243,351.07654,105.73545,55.656334,-1736.1985,444.65808,-256.8814,-83.99229,69.29791,-38.439545,1897.9288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230.0099,169.42496,88.359085,91.82943,124.66137,99.65115,99.94463,119.53494,101.43015,0.0,41.24119,1878.9327,1422.7948,-71.19436,350.7869,106.296486,55.280148,-1736.2301,439.14844,-261.07736,-84.938324,67.61481,-39.77249,1878.9327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.93608,84.93608,88.114655,89.37111,87.702705,89.249275,90.76479,87.37408,84.17408,0.0,42.40602,-0.0001921523,-43.2906,24.383646,-7.71324,7.2343655,4.6223893,129.204,27.43941,45.828194,10.210184,15.339614,10.116557,0.0,0.0,0.0,0.42044866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.60203,84.60203,87.7689,89.08635,87.410934,88.96677,90.48184,87.13757,84.02283,0.0,42.05885,-0.00019057663,-41.150112,21.203896,-9.287132,7.4341006,2.9644454,120.24235,25.129892,41.64535,10.133492,13.887903,8.593381,0.0,0.0,0.0,0.46437544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.301445,84.301445,87.44733,88.772484,87.148865,88.69278,90.206474,86.9091,83.776535,0.0,41.735756,-0.00019004646,-37.051704,20.773352,-7.2086883,8.035603,3.3680992,109.9344,22.856333,38.245983,8.361084,12.938293,8.241519,0.0,0.0,0.0,0.4989852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.01178,84.01178,87.15274,88.510086,86.88182,88.42777,89.94378,86.66783,83.53842,0.0,41.44036,-0.00019005152,-36.035515,18.884357,-7.5992117,7.0049725,3.299625,104.07113,21.426188,35.996437,8.375606,12.167698,7.887479,0.0,0.0,0.0,0.54577225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.73445,83.73445,86.87299,88.21871,86.59362,88.13955,89.655304,86.3587,83.25082,0.0,41.16072,-0.00018845391,-35.525337,19.584522,-7.59428,7.123314,2.7954576,104.86094,22.123379,36.65308,8.22948,12.796657,7.879178,0.0,0.0,0.0,0.57652044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.44391,83.44391,86.590805,87.92358,86.301,87.846664,89.36357,86.03939,82.91511,0.0,40.878956,-0.00018684985,-37.260178,20.340082,-7.5446754,6.567581,3.1856685,107.941925,22.25415,37.46759,8.054885,13.562259,8.437578,0.0,0.0,0.0,0.5721781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.12769,83.12769,86.298706,87.600075,85.92718,87.48194,88.99973,85.61893,82.47874,0.0,40.588917,-0.00018577391,-41.918182,22.079908,-9.117865,6.112424,3.5288124,121.92243,25.659946,42.6439,9.954822,14.818392,9.307458,0.0,0.0,0.0,0.5558465,0.0,0.0,0.42089927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.78736,82.78736,85.96902,87.20158,85.53564,87.07683,88.58786,85.18913,82.01538,0.0,40.261307,-0.00018415201,-43.83931,25.536358,-6.6598516,9.096538,4.1728415,134.76218,28.391735,47.505856,10.519149,15.784516,9.966407,0.0,0.0,0.0,0.4921092,0.053254254,0.0,0.46433988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
