pressure [meter] at 10,pressure [meter] at 11,pressure [meter] at 12,pressure [meter] at 13,pressure [meter] at 21,pressure [meter] at 22,pressure [meter] at 23,pressure [meter] at 31,pressure [meter] at 32,pressure [meter] at 9,pressure [meter] at 2,flow [cubic meter/hr] at 10,flow [cubic meter/hr] at 11,flow [cubic meter/hr] at 12,flow [cubic meter/hr] at 21,flow [cubic meter/hr] at 22,flow [cubic meter/hr] at 31,flow [cubic meter/hr] at 110,flow [cubic meter/hr] at 111,flow [cubic meter/hr] at 112,flow [cubic meter/hr] at 113,flow [cubic meter/hr] at 121,flow [cubic meter/hr] at 122,flow [cubic meter/hr] at 9,bulk_species_node [MG] at Chlorine @ 10,bulk_species_node [MG] at Chlorine @ 11,bulk_species_node [MG] at Chlorine @ 12,bulk_species_node [MG] at Chlorine @ 13,bulk_species_node [MG] at Chlorine @ 21,bulk_species_node [MG] at Chlorine @ 22,bulk_species_node [MG] at Chlorine @ 23,bulk_species_node [MG] at Chlorine @ 31,bulk_species_node [MG] at Chlorine @ 32,bulk_species_node [MG] at AsIII @ 10,bulk_species_node [MG] at AsIII @ 11,bulk_species_node [MG] at AsIII @ 12,bulk_species_node [MG] at AsIII @ 13,bulk_species_node [MG] at AsIII @ 21,bulk_species_node [MG] at AsIII @ 22,bulk_species_node [MG] at AsIII @ 23,bulk_species_node [MG] at AsIII @ 31,bulk_species_node [MG] at AsIII @ 32,bulk_species_node [MG] at AsIII @ 9,bulk_species_node [MG] at AsIII @ 2
251.32037,168.46445,83.57666,85.92239,120.77173,92.494255,92.81042,115.00462,96.806335,0.0,36.576,1719.0138,1285.831,-48.36676,317.94897,78.21946,60.945187,-1574.2264,413.99402,-261.2488,-59.58385,73.277954,-46.53808,1719.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253.32973,171.88336,87.808044,90.223724,125.249245,96.94748,97.24954,119.70032,101.652954,0.0,40.80597,1703.1606,1279.4027,-50.54818,318.08887,78.71114,60.616592,-1575.1603,409.30777,-265.45273,-60.405518,71.76784,-47.639698,1703.1606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.02995,85.02995,88.19061,89.57257,87.860634,89.43595,90.94834,87.61113,84.47625,0.0,42.48074,-0.00019303632,-35.27104,18.747122,-10.231051,6.369611,3.7552447,115.383865,21.788868,44.491535,8.581744,13.44423,8.57839,0.0,0.0,0.0,0.46874174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.72923,84.72923,87.88173,89.2971,87.58763,89.171394,90.68237,87.38226,84.301254,0.0,42.170704,-0.00019238684,-33.867344,16.219994,-11.108542,6.7766476,2.2274573,108.06187,20.241402,40.518494,8.280166,12.10289,7.444199,0.0,0.0,0.0,0.519996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.460175,84.460175,87.59284,89.01068,87.35316,88.91946,90.42986,87.17183,84.07782,0.0,41.88034,-0.00019010295,-30.229599,16.019537,-9.217469,6.935946,2.6640909,98.08048,18.155771,36.932655,7.117308,11.316096,7.050905,0.0,0.0,0.0,0.55522954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.200806,84.200806,87.33,88.76588,87.10967,88.67673,90.189575,86.94824,83.85594,0.0,41.616795,-0.00019010197,-29.552439,14.486945,-9.305993,6.23243,2.610352,93.026825,17.126526,34.8502,6.9499393,10.6276,6.751082,0.0,0.0,0.0,0.61173356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.9531,83.9531,87.07994,88.50921,86.85338,88.420876,89.93371,86.675995,83.597305,0.0,41.366833,-0.0001887873,-29.08834,15.0641575,-9.357433,6.238373,2.1408556,93.6899,17.689346,35.461224,6.920183,11.182514,6.7917423,0.0,0.0,0.0,0.6449658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.693954,83.693954,86.82786,88.25006,86.59402,88.16182,89.67642,86.39578,83.3071,0.0,41.115086,-0.00018812554,-30.466848,15.66088,-9.392939,5.6828194,2.4928527,96.14746,17.703522,36.184208,6.849788,11.873886,7.2335486,0.0,0.0,0.0,0.6404011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.41182,83.41182,86.56759,87.974365,86.26382,87.84705,89.362,86.03105,82.93449,0.0,40.856735,-0.00018812579,-34.435665,16.899998,-11.055123,5.5671597,2.743044,109.218376,20.607277,41.461113,8.203737,12.949471,7.9984217,0.0,0.0,0.0,0.6240323,0.0,0.0,0.46870074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.11003,83.11003,86.27227,87.64056,85.92932,87.498215,89.00499,85.66558,82.547035,0.0,40.563263,-0.0001861323,-35.53719,19.700647,-9.518833,7.882066,3.355702,120.59111,22.398308,46.13727,8.930124,13.853322,8.476103,0.0,0.0,0.0,0.54935026,0.0,0.0,0.51994944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
