bulk_species_node [MG] at P @ dist356,bulk_species_node [MG] at Chlorine @ dist356,bulk_species_node [MG] at P @ dist399,bulk_species_node [MG] at Chlorine @ dist399,bulk_species_node [MG] at P @ dist485,bulk_species_node [MG] at Chlorine @ dist485,bulk_species_node [MG] at P @ dist606,bulk_species_node [MG] at Chlorine @ dist606,bulk_species_node [MG] at P @ dist1028,bulk_species_node [MG] at Chlorine @ dist1028,bulk_species_node [MG] at P @ dist1332,bulk_species_node [MG] at Chlorine @ dist1332,bulk_species_node [MG] at P @ dist1363,bulk_species_node [MG] at Chlorine @ dist1363,bulk_species_node [MG] at P @ dist1459,bulk_species_node [MG] at Chlorine @ dist1459,bulk_species_node [MG] at P @ dist1464,bulk_species_node [MG] at Chlorine @ dist1464,bulk_species_node [MG] at P @ dist1915,bulk_species_node [MG] at Chlorine @ dist1915
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.908773e-05,0.0,0.0,0.0,6.6463235e-06,0.0,1.1652622e-06,0.0,5.7209024e-07,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.153981e-05,0.0,0.0,0.0,3.2139575e-05,0.0,9.41104e-06,0.0,4.576713e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5957935e-05,0.0,1.4173099e-08,0.0,3.4428493e-05,0.0,1.1287532e-05,0.0,5.9505182e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.991393e-05,0.0,7.429331e-08,0.0,3.0225929e-05,0.0,9.293839e-06,0.0,4.7513367e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7175448e-07,0.0,5.9644262e-05,0.0,1.1596881e-07,0.0,3.154466e-05,0.0,9.865927e-06,0.0,5.0971425e-06,0.0,0.0
0.0,1.8962921e-06,0.0,3.113553e-10,0.0,6.509881e-08,0.0,9.866424e-07,0.0,6.029911e-05,0.0,1.6385628e-07,0.0,3.1292344e-05,0.0,1.0138486e-05,0.0,5.3266826e-06,0.0,0.0
0.0,7.1260188e-06,0.0,2.006617e-09,0.0,3.5604907e-07,0.0,1.2712952e-06,0.0,5.863882e-05,0.0,1.9759061e-07,0.0,3.243909e-05,0.0,1.09730345e-05,0.0,5.8529668e-06,0.0,2.5886127e-11
0.0,6.6337266e-06,0.0,3.5789054e-09,0.0,4.4828954e-07,0.0,1.2532936e-06,0.0,5.9464393e-05,0.0,1.9087291e-07,0.0,3.0584626e-05,0.0,9.746117e-06,0.0,4.937964e-06,0.0,2.9084679e-11
0.0,6.5363806e-06,0.0,4.994506e-09,0.0,5.277491e-07,0.0,1.1662889e-06,0.0,5.767609e-05,0.0,1.6254975e-07,0.0,3.336298e-05,0.0,1.10707315e-05,0.0,5.7945617e-06,0.0,4.0657165e-11
0.0,5.712672e-06,0.0,2.3299698e-09,0.0,4.1041307e-07,0.0,1.1649993e-06,0.0,5.501964e-05,0.0,1.3193025e-07,0.0,3.475063e-05,0.0,1.1801602e-05,0.0,6.2168447e-06,0.0,2.86945e-10
0.0,5.89734e-06,0.0,1.5774045e-09,0.0,3.40437e-07,0.0,1.1597821e-06,0.0,5.9726062e-05,0.0,1.3583043e-07,0.0,3.007647e-05,0.0,9.503469e-06,0.0,4.7234257e-06,0.0,3.6921186e-10
0.0,6.179896e-06,0.0,4.520199e-09,0.0,3.8685914e-07,0.0,1.0143947e-06,0.0,6.144719e-05,0.0,1.2563609e-07,0.0,2.9501194e-05,0.0,9.418385e-06,0.0,4.5964434e-06,0.0,1.916715e-10
0.0,5.860648e-06,0.0,3.5421694e-09,0.0,3.646924e-07,0.0,7.7364217e-07,0.0,6.115844e-05,0.0,1.1045224e-07,0.0,2.8966584e-05,0.0,8.9415e-06,0.0,4.1457965e-06,0.0,1.4456548e-10
0.0,5.0166254e-06,0.0,1.5087905e-09,0.0,2.6264883e-07,0.0,6.368655e-07,0.0,6.0349183e-05,0.0,8.240698e-08,0.0,2.7870377e-05,0.0,8.133116e-06,0.0,3.6717854e-06,0.0,2.0672264e-10
0.0,4.7365534e-06,0.0,3.816245e-09,0.0,2.4917873e-07,0.0,5.171856e-07,0.0,6.159903e-05,0.0,6.1485345e-08,0.0,2.6127042e-05,0.0,7.3141796e-06,0.0,3.1465092e-06,0.0,1.0714092e-09
0.0,5.327678e-06,0.0,3.305764e-09,0.0,2.793917e-07,0.0,5.1597993e-07,0.0,6.2381034e-05,0.0,6.144179e-08,0.0,2.7538545e-05,0.0,8.043515e-06,0.0,3.5646492e-06,0.0,8.5220115e-09
0.0,5.468379e-06,0.0,3.0567113e-09,0.0,2.684217e-07,0.0,4.8110996e-07,0.0,6.8977904e-05,0.0,5.0492602e-08,0.0,2.713271e-05,0.0,7.367985e-06,0.0,3.1920054e-06,0.0,6.2492087e-09
0.0,5.4209772e-06,0.0,1.459134e-09,0.0,2.545154e-07,0.0,4.1392477e-07,0.0,7.061466e-05,0.0,4.2216513e-08,0.0,2.7801088e-05,0.0,7.5392286e-06,0.0,3.244668e-06,0.0,6.672095e-09
0.0,4.7853664e-06,0.0,1.1010342e-09,0.0,1.8103611e-07,0.0,3.2073365e-07,0.0,6.908201e-05,0.0,3.0264165e-08,0.0,2.4298211e-05,0.0,5.6224385e-06,0.0,2.2227632e-06,0.0,4.018965e-09
0.0,4.045383e-06,0.0,3.5058992e-10,0.0,1.2684784e-07,0.0,1.8319898e-07,0.0,6.654575e-05,0.0,1.799855e-08,0.0,2.2956106e-05,0.0,5.0973463e-06,0.0,1.9365038e-06,0.0,2.7934064e-09
0.0,4.8898237e-06,0.0,8.168039e-10,0.0,1.7206361e-07,0.0,2.796373e-07,0.0,6.6243556e-05,0.0,2.1283306e-08,0.0,2.5655923e-05,0.0,6.74526e-06,0.0,2.7398546e-06,0.0,4.3256057e-09
0.0,4.853919e-06,0.0,7.2210775e-09,0.0,1.6628118e-07,0.0,3.0799234e-07,0.0,6.4322754e-05,0.0,2.1059e-08,0.0,2.579142e-05,0.0,6.9169346e-06,0.0,2.8199213e-06,0.0,4.6673656e-09
0.0,5.5746623e-06,0.0,1.03174385e-08,0.0,2.2109151e-07,0.0,4.2444077e-07,0.0,6.594689e-05,0.0,2.8264243e-08,0.0,2.4955105e-05,0.0,6.8244203e-06,0.0,2.8774116e-06,0.0,4.926652e-09
0.0,5.5634173e-06,0.0,2.0509672e-09,0.0,2.2425691e-07,0.0,4.40629e-07,0.0,6.7833804e-05,0.0,2.8932268e-08,0.0,2.2437465e-05,0.0,5.9261656e-06,0.0,2.4471663e-06,0.0,4.2823247e-09
0.0,5.3125123e-06,0.0,8.205543e-10,0.0,2.1381004e-07,0.0,4.518232e-07,0.0,6.537435e-05,0.0,2.801496e-08,0.0,2.3791963e-05,0.0,6.365221e-06,0.0,2.600521e-06,0.0,4.5315827e-09
0.0,5.874068e-06,0.0,1.465929e-09,0.0,2.8589923e-07,0.0,5.552147e-07,0.0,6.4418826e-05,0.0,3.9878927e-08,0.0,2.6614267e-05,0.0,8.010269e-06,0.0,3.5916783e-06,0.0,8.489415e-09
0.0,5.109072e-06,0.0,1.3408673e-09,0.0,2.372025e-07,0.0,4.6390525e-07,0.0,6.2745625e-05,0.0,3.703708e-08,0.0,2.5912177e-05,0.0,7.48361e-06,0.0,3.3166707e-06,0.0,9.283135e-09
0.0,4.7845665e-06,0.0,6.383007e-10,0.0,1.8450922e-07,0.0,4.2953872e-07,0.0,6.2313986e-05,0.0,3.4208636e-08,0.0,2.598167e-05,0.0,7.541139e-06,0.0,3.298651e-06,0.0,8.152697e-09
0.0,3.7987243e-06,0.0,3.5888453e-10,0.0,1.2396049e-07,0.0,3.1695996e-07,0.0,5.943487e-05,0.0,2.380977e-08,0.0,2.5194797e-05,0.0,6.753973e-06,0.0,2.7477838e-06,0.0,5.286286e-09
0.0,4.443353e-06,0.0,3.279202e-10,0.0,1.5001204e-07,0.0,3.155961e-07,0.0,6.169489e-05,0.0,2.901095e-08,0.0,2.608077e-05,0.0,7.353474e-06,0.0,3.1005713e-06,0.0,5.3651457e-09
0.0,4.43893e-06,0.0,8.691407e-11,0.0,1.4938534e-07,0.0,3.4151375e-07,0.0,6.117787e-05,0.0,2.7284319e-08,0.0,2.6392794e-05,0.0,7.6258634e-06,0.0,3.333032e-06,0.0,5.4195475e-09
