demand [cubic meter/hr] at dist606,bulk_species_node [MG] at P @ dist606,bulk_species_node [MG] at Chlorine @ dist606,bulk_species_node [MG] at C_FRA @ dist606,bulk_species_node [MG] at C_SRA @ dist606,demand [cubic meter/hr] at dist1332,bulk_species_node [MG] at P @ dist1332,bulk_species_node [MG] at Chlorine @ dist1332,bulk_species_node [MG] at C_FRA @ dist1332,bulk_species_node [MG] at C_SRA @ dist1332,demand [cubic meter/hr] at dist1915,bulk_species_node [MG] at P @ dist1915,bulk_species_node [MG] at Chlorine @ dist1915,bulk_species_node [MG] at C_FRA @ dist1915,bulk_species_node [MG] at C_SRA @ dist1915
0.53579193,0.0,0.0,0.0,0.0,0.091781326,0.0,0.0,0.0,0.0,0.16371106,0.0,0.0,0.0,0.0
0.72242653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39191857,0.0,0.0,0.0,0.0
0.0111411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23579124,0.0,0.0,0.0,0.0
0.02225225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2837983,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.06883967,0.0,0.0,0.0,0.0,0.37021104,0.0,0.0,0.0,0.0
0.02225225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28845987,0.0,0.0,0.0,0.0
0.019437028,0.0,0.0,0.0,0.0,0.0,0.0,5.9204703e-09,0.0,0.0,0.21137023,0.0,0.0,0.0,0.0
0.12527747,0.0,0.0,0.0,0.0,0.0,0.0,2.4797082e-08,0.0,0.0,0.583599,0.0,0.0,0.0,0.0
0.0,0.0,4.7306255e-08,0.0,0.0,0.0,0.0,3.2921452e-08,0.0,0.0,0.24198344,0.0,0.0,0.0,0.0
0.10021,0.0,3.515648e-07,0.0,0.0,0.02294166,0.0,5.8487363e-08,0.0,0.0,0.71620977,0.0,0.0,0.0,0.0
0.0,0.0,4.7142476e-07,0.0,0.0,0.01147083,0.0,5.6619662e-08,0.0,0.0,0.3387629,0.0,0.0,0.0,0.0
0.0111411,0.0,4.758365e-07,0.0,0.0,0.068413734,0.0,4.5624752e-08,0.0,0.0,0.29847872,0.0,0.0,0.0,0.0
0.033393353,0.0,4.243449e-07,0.0,0.0,0.1496936,0.0,3.504488e-08,0.0,0.0,0.18555775,0.0,2.2905994e-12,0.0,0.0
0.0,0.0,4.0653322e-07,0.0,0.0,0.12128824,0.0,3.380959e-08,0.0,0.0,0.19648111,0.0,8.2205846e-11,0.0,0.0
0.0779278,0.0,3.4404937e-07,0.0,0.0,0.0,0.0,3.189821e-08,0.0,0.0,0.40145043,0.0,6.571844e-11,0.0,0.0
0.0,0.0,2.670879e-07,0.0,0.0,0.18357734,0.0,2.544068e-08,0.0,0.0,0.12245281,0.0,3.8149945e-11,0.0,0.0
0.02225225,0.0,1.766746e-07,0.0,0.0,0.0,0.0,1.8174378e-08,0.0,0.0,0.2401049,0.0,2.9232373e-11,0.0,0.0
