demand [cubic meter/hr] at dist606,bulk_species_node [MG] at P @ dist606,bulk_species_node [MG] at Chlorine @ dist606,bulk_species_node [MG] at C_FRA @ dist606,bulk_species_node [MG] at C_SRA @ dist606,demand [cubic meter/hr] at dist1332,bulk_species_node [MG] at P @ dist1332,bulk_species_node [MG] at Chlorine @ dist1332,bulk_species_node [MG] at C_FRA @ dist1332,bulk_species_node [MG] at C_SRA @ dist1332,demand [cubic meter/hr] at dist1915,bulk_species_node [MG] at P @ dist1915,bulk_species_node [MG] at Chlorine @ dist1915,bulk_species_node [MG] at C_FRA @ dist1915,bulk_species_node [MG] at C_SRA @ dist1915
0.53943646,0.0,0.0,0.0,0.0,0.093271405,0.0,0.0,0.0,0.0,0.16458462,0.0,0.0,0.0,0.0
0.7273406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39400983,0.0,0.0,0.0,0.0
0.0112168845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2370494,0.0,0.0,0.0,0.0
0.022403615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28531265,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.069957286,0.0,0.0,0.0,0.0,0.37218648,0.0,0.0,0.0,0.0
0.022403615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28999907,0.0,0.0,0.0,0.0
0.019569242,0.0,0.0,0.0,0.0,0.0,0.0,6.3718737e-09,0.0,0.0,0.2124981,0.0,0.0,0.0,0.0
0.12612964,0.0,0.0,0.0,0.0,0.0,0.0,2.5331587e-08,0.0,0.0,0.586713,0.0,0.0,0.0,0.0
0.0,0.0,5.0329007e-08,0.0,0.0,0.0,0.0,3.345283e-08,0.0,0.0,0.24327466,0.0,0.0,0.0,0.0
0.10089165,0.0,3.5935352e-07,0.0,0.0,0.023314122,0.0,5.926052e-08,0.0,0.0,0.72003144,0.0,0.0,0.0,0.0
0.0,0.0,4.785892e-07,0.0,0.0,0.011657061,0.0,5.733376e-08,0.0,0.0,0.34057054,0.0,0.0,0.0,0.0
0.0112168845,0.0,4.814435e-07,0.0,0.0,0.06952444,0.0,4.62009e-08,0.0,0.0,0.3000714,0.0,0.0,0.0,0.0
0.0336205,0.0,4.2842387e-07,0.0,0.0,0.15212388,0.0,3.5490153e-08,0.0,0.0,0.18654788,0.0,3.106291e-12,0.0,0.0
0.0,0.0,4.1034914e-07,0.0,0.0,0.12325737,0.0,3.4248067e-08,0.0,0.0,0.19752952,0.0,8.379446e-11,0.0,0.0
0.07845788,0.0,3.4748976e-07,0.0,0.0,0.0,0.0,3.2339504e-08,0.0,0.0,0.40359256,0.0,6.668559e-11,0.0,0.0
0.0,0.0,2.697218e-07,0.0,0.0,0.18655774,0.0,2.5776492e-08,0.0,0.0,0.12310621,0.0,3.864122e-11,0.0,0.0
0.022403615,0.0,1.784429e-07,0.0,0.0,0.0,0.0,1.8409565e-08,0.0,0.0,0.2413861,0.0,2.9568865e-11,0.0,0.0
0.0,0.0,1.6305837e-07,0.0,0.0,0.0,0.0,1.3230613e-08,0.0,0.0,0.2413861,0.0,2.065428e-11,0.0,0.0
0.0,0.0,1.7696358e-07,0.0,0.0,0.0,0.0,1.13062715e-08,0.0,0.0,0.0,0.0,7.3180845e-12,0.0,0.0
0.0,0.0,1.9545725e-07,0.0,0.0,0.011657061,0.0,1.2324515e-08,0.0,0.0,0.021963267,0.0,1.9941982e-12,0.0,0.0
0.07845788,0.0,1.4536043e-07,0.0,0.0,0.011657061,0.0,8.919031e-09,0.0,0.0,0.3474253,0.0,6.6675814e-12,0.0,0.0
0.0,0.0,1.3852758e-07,0.0,2.3745566e-08,0.59272647,0.0,8.600545e-09,0.0,9.16691e-10,0.5009583,0.0,8.047043e-12,0.0,9.0011614e-13
0.0,0.0,1.4864185e-07,0.0,1.9095653e-07,0.8216695,0.0,9.780471e-09,0.0,1.1011809e-08,0.2830044,0.0,1.068625e-11,0.0,1.535406e-11
0.17934953,0.0,2.5591297e-07,0.0,1.1008731e-06,0.7895605,0.0,1.8439517e-08,0.0,8.939561e-08,0.07071613,0.0,1.4728304e-11,0.0,1.10536275e-10
0.0112168845,0.0,1.9521212e-07,0.0,2.4941774e-06,0.0,0.0,1.3640467e-08,0.0,2.1717689e-07,0.017066997,0.0,7.436438e-12,0.0,2.4766345e-10
0.022403615,0.0,1.3116262e-07,0.0,4.4563203e-06,0.0,0.0,8.7452845e-09,0.0,4.3112007e-07,0.12331606,0.0,5.019991e-12,0.0,5.8479216e-10
0.0,0.0,1.2104391e-07,0.0,7.926737e-06,0.023314122,0.0,6.7992176e-09,0.0,8.040328e-07,0.15101495,0.0,6.9308426e-10,0.0,1.5065329e-07
0.0,0.0,1.6003021e-07,0.0,1.3992588e-05,0.0,0.0,8.648158e-09,0.0,1.5391855e-06,0.010981633,0.0,2.3563784e-09,0.0,5.139801e-07
0.112078376,0.0,1.3310228e-07,0.0,2.0050024e-05,0.0,0.0,8.427415e-09,0.0,2.6552364e-06,0.09876476,0.0,1.8318693e-09,0.0,8.649655e-07
0.0,0.0,1.413918e-07,0.0,2.8608121e-05,0.0,0.0,9.471662e-09,0.0,4.5351453e-06,0.13485727,0.0,1.754851e-09,0.0,1.4539634e-06
0.0,0.0,1.2278157e-07,0.0,3.6588895e-05,0.0,0.0,9.166376e-09,0.0,6.966544e-06,0.1284921,0.0,1.6151424e-09,0.0,2.2759414e-06
0.04996338,0.0,9.9166435e-08,0.0,4.6207428e-05,0.0,0.0,7.073302e-09,0.0,9.644783e-06,0.0,0.0,1.218855e-09,0.0,3.315899e-06
0.09576566,0.0,7.7647194e-08,0.0,5.5667217e-05,0.0,0.0,5.388653e-09,0.0,1.268604e-05,0.014618862,0.0,1.216313e-09,0.0,4.4877856e-06
