demand [cubic meter/hr] at dist606,bulk_species_node [MG] at P @ dist606,bulk_species_node [MG] at Chlorine @ dist606,bulk_species_node [MG] at C_FRA @ dist606,bulk_species_node [MG] at C_SRA @ dist606,demand [cubic meter/hr] at dist1332,bulk_species_node [MG] at P @ dist1332,bulk_species_node [MG] at Chlorine @ dist1332,bulk_species_node [MG] at C_FRA @ dist1332,bulk_species_node [MG] at C_SRA @ dist1332,demand [cubic meter/hr] at dist1915,bulk_species_node [MG] at P @ dist1915,bulk_species_node [MG] at Chlorine @ dist1915,bulk_species_node [MG] at C_FRA @ dist1915,bulk_species_node [MG] at C_SRA @ dist1915
0.53884953,0.0,0.0,0.0,0.0,0.09300253,0.0,0.0,0.0,0.0,0.16450742,0.0,0.0,0.0,0.0
0.72654927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39382505,0.0,0.0,0.0,0.0
0.01120468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23693822,0.0,0.0,0.0,0.0
0.02237924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28517884,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.06975562,0.0,0.0,0.0,0.0,0.3720119,0.0,0.0,0.0,0.0
0.02237924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28986305,0.0,0.0,0.0,0.0
0.01954795,0.0,0.0,0.0,0.0,0.0,0.0,6.61696e-09,0.0,0.0,0.21239844,0.0,0.0,0.0,0.0
0.12599242,0.0,0.0,0.0,0.0,0.0,0.0,2.5617934e-08,0.0,0.0,0.5864379,0.0,0.0,0.0,0.0
0.0,0.0,5.2229712e-08,0.0,0.0,0.0,0.0,3.3739095e-08,0.0,0.0,0.24316056,0.0,0.0,0.0,0.0
0.10078188,0.0,3.641867e-07,0.0,0.0,0.023246914,0.0,5.9651214e-08,0.0,0.0,0.7196937,0.0,0.0,0.0,0.0
0.0,0.0,4.8383964e-07,0.0,0.0,0.011623457,0.0,5.7738607e-08,0.0,0.0,0.3404108,0.0,0.0,0.0,0.0
0.01120468,0.0,4.8616187e-07,0.0,0.0,0.06932402,0.0,4.6583402e-08,0.0,0.0,0.29993066,0.0,0.0,0.0,0.0
0.03358392,0.0,4.3239615e-07,0.0,0.0,0.15168536,0.0,3.578675e-08,0.0,0.0,0.18646039,0.0,3.5576845e-12,0.0,0.0
0.0,0.0,4.130141e-07,0.0,0.0,0.12290205,0.0,3.4474613e-08,0.0,0.0,0.19743688,0.0,8.4530175e-11,0.0,0.0
0.078372516,0.0,3.4944694e-07,0.0,0.0,0.0,0.0,3.2531567e-08,0.0,0.0,0.40340325,0.0,6.719798e-11,0.0,0.0
0.0,0.0,2.7124716e-07,0.0,0.0,0.18601994,0.0,2.593368e-08,0.0,0.0,0.12304848,0.0,3.896167e-11,0.0,0.0
0.02237924,0.0,1.7926303e-07,0.0,0.0,0.0,0.0,1.8508464e-08,0.0,0.0,0.24127288,0.0,2.9794767e-11,0.0,0.0
0.0,0.0,1.6386504e-07,0.0,0.0,0.0,0.0,1.3314698e-08,0.0,0.0,0.24127288,0.0,2.0814945e-11,0.0,0.0
